gender,age,nationality,childhoodIn,religion,married,kids,education,party
female,30 to 44,german,germany,romeCatholic,yes,no,university,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,university,CSU
male,21 to 24,german,germany,romeCatholic,no,no,abitur,CSU
female,65 to 69,german,germany,noReligion,no,yes,highSchool,CSU
male,21 to 24,german,germany,romeCatholic,no,no,abitur,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
female,30 to 44,german,germany,romeCatholic,no,no,university,CSU
male,30 to 44,german,other,protestant,yes,yes,university,CSU
female,21 to 24,german,germany,romeCatholic,no,no,university,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,middle,CSU
female,30 to 44,german,germany,romeCatholic,no,no,university,CSU
female,60 to 64,german,germany,romeCatholic,yes,yes,middle,CSU
male,70 to und,german,germany,protestant,yes,yes,university,CSU
female,under 20,german,germany,protestant,no,no,primary,CSU
female,25 to 29,german,germany,romeCatholic,no,no,university,CSU
male,30 to 44,german,germany,romeCatholic,yes,no,university,CSU
male,30 to 44,german,germany,jewish,no,yes,abitur,CSU
male,65 to 69,german,germany,romeCatholic,yes,yes,university,CSU
male,30 to 44,german,germany,noReligion,no,yes,middle,CSU
female,60 to 64,german,germany,romeCatholic,no,no,university,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,middle,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,middle,CSU
female,65 to 69,german,germany,romeCatholic,no,yes,primary,CSU
female,30 to 44,german,germany,romeCatholic,no,no,middle,CSU
female,60 to 64,other,other,romeCatholic,no,no,abitur,CSU
male,25 to 29,german,germany,romeCatholic,no,no,university,CSU
female,60 to 64,german,germany,romeCatholic,no,no,middle,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,middle,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,middle,CSU
female,65 to 69,german,germany,romeCatholic,no,yes,primary,CSU
female,60 to 64,german,germany,romeCatholic,no,yes,primary,CSU
male,30 to 44,german,germany,romeCatholic,no,no,abitur,CSU
male,under 20,german,germany,romeCatholic,no,no,abitur,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,primary,CSU
female,45 to 59,german,germany,protestant,no,yes,middle,CSU
male,65 to 69,german,germany,noReligion,yes,no,non,CSU
female,25 to 29,german,germany,noReligion,yes,no,abitur,CSU
female,45 to 59,german,germany,romeCatholic,yes,no,highSchool,CSU
