gender,age,nationality,childhoodIn,religion,married,kids,education,party
male,65 to 69,german,germany,romeCatholic,yes,yes,primary,CSU
female,70 to und,german,germany,romeCatholic,no,yes,primary,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,university,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,highSchool,CSU
female,45 to 59,german,other,romeCatholic,yes,yes,abitur,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,middle,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,primary,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
female,70 to und,german,germany,romeCatholic,no,yes,primary,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,middle,CSU
male,under 20,german,germany,romeCatholic,no,no,middle,CSU
female,21 to 24,german,germany,romeCatholic,no,no,abitur,CSU
male,60 to 64,german,germany,romeCatholic,yes,yes,middle,CSU
male,60 to 64,german,germany,romeCatholic,yes,yes,middle,CSU
female,25 to 29,german,germany,protestant,no,no,university,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,university,CSU
male,30 to 44,german,other,protestant,yes,yes,middle,CSU
male,25 to 29,german,germany,romeCatholic,no,no,highSchool,CSU
male,30 to 44,german,germany,romeCatholic,no,no,middle,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,abitur,CSU
female,65 to 69,german,germany,romeCatholic,yes,yes,middle,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,highSchool,CSU
male,70 to und,german,germany,romeCatholic,yes,no,primary,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,middle,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,primary,CSU
male,70 to und,german,germany,noReligion,yes,yes,highSchool,CSU
female,under 20,german,germany,romeCatholic,no,no,middle,CSU
female,30 to 44,german,germany,romeCatholic,yes,yes,middle,CSU
male,30 to 44,german,germany,romeCatholic,no,no,middle,CSU
female,70 to und,german,germany,romeCatholic,yes,yes,primary,CSU
female,45 to 59,german,germany,romeCatholic,no,yes,primary,CSU
male,30 to 44,german,germany,protestant,yes,yes,middle,CSU
female,60 to 64,german,russia,romeCatholic,no,yes,university,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,middle,CSU
female,45 to 59,german,germany,romeCatholic,yes,yes,primary,CSU
female,25 to 29,german,germany,romeCatholic,no,no,university,CSU
male,65 to 69,german,germany,protestant,yes,yes,non,CSU
male,45 to 59,german,other,romeCatholic,yes,yes,primary,CSU
male,60 to 64,german,germany,protestant,yes,yes,middle,CSU
male,45 to 59,german,germany,romeCatholic,yes,yes,university,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,highSchool,CSU
female,60 to 64,german,germany,romeCatholic,yes,yes,primary,CSU
male,45 to 59,german,germany,protestant,no,yes,abitur,CSU
female,60 to 64,german,germany,romeCatholic,yes,yes,highSchool,CSU
male,70 to und,german,germany,romeCatholic,yes,yes,middle,CSU
male,45 to 59,german,germany,romeCatholic,no,yes,primary,CSU
male,60 to 64,german,germany,romeCatholic,yes,yes,middle,CSU
male,45 to 59,german,germany,protestant,yes,yes,middle,CSU
female,60 to 64,german,germany,romeCatholic,yes,no,primary,CSU
female,21 to 24,other,other,romeCatholic,no,no,university,CSU
male,65 to 69,german,germany,romeCatholic,yes,yes,primary,CSU
male,65 to 69,german,germany,romeCatholic,yes,yes,primary,CSU
